,CSD,BOROUGH,SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,DATA SOURCE,SCHOOLWIDE PUPIL-TEACHER RATIO,padded_csd
21737,25,Q,Q460,Flushing High School,09-12,GEN ED,ENGLISH,English 10,-,612.0,18.0,34.0,31.0,36.0,STARS,,25
21738,25,Q,Q460,Flushing High School,09-12,GEN ED,ENGLISH,English 11,-,555.0,17.0,32.6,22.0,34.0,STARS,,25
21739,25,Q,Q460,Flushing High School,09-12,GEN ED,ENGLISH,English 12,-,130.0,4.0,32.5,32.0,33.0,STARS,,25
21740,25,Q,Q460,Flushing High School,09-12,GEN ED,ENGLISH,Other English,-,617.0,20.0,30.9,20.0,36.0,STARS,,25
21741,25,Q,Q460,Flushing High School,09-12,GEN ED,MATH,Integrated Algebra,-,1693.0,61.0,27.8,14.0,35.0,STARS,,25
21742,25,Q,Q460,Flushing High School,09-12,GEN ED,MATH,Geometry,-,1044.0,36.0,29.0,10.0,37.0,STARS,,25
21743,25,Q,Q460,Flushing High School,09-12,GEN ED,MATH,Trigonometry,-,57.0,2.0,28.5,22.0,35.0,STARS,,25
21744,25,Q,Q460,Flushing High School,09-12,GEN ED,MATH,Other Math,-,46.0,2.0,23.0,18.0,28.0,STARS,,25
21745,25,Q,Q460,Flushing High School,09-12,GEN ED,SCIENCE,Earth Science,-,1411.0,45.0,31.4,22.0,35.0,STARS,,25
21746,25,Q,Q460,Flushing High School,09-12,GEN ED,SCIENCE,Living Environment,-,2230.0,74.0,30.1,19.0,35.0,STARS,,25
21747,25,Q,Q460,Flushing High School,09-12,GEN ED,SCIENCE,Chemistry,-,372.0,13.0,28.6,15.0,34.0,STARS,,25
21748,25,Q,Q460,Flushing High School,09-12,GEN ED,SCIENCE,Physics,-,177.0,6.0,29.5,29.0,30.0,STARS,,25
